,given20_estimated7,given17_estimated8,given3_estimated2,given13_estimated31,given16_estimated3,given11_estimated0,given21_estimated3,given0_estimated28,given26_estimated24,given11_estimated2
113,2.418191,1.4736279,2.974633,2.667937,1.5468513,2.915909,1.4440187,1.4622251,1.3773937,2.7256808
114,2.349397,1.4886295,2.9602387,2.652623,1.5268567,2.9202425,1.4414858,1.4632058,1.4624045,2.7414932
115,2.339978,1.4653931,2.9344895,2.662773,1.5739578,2.896993,1.4248732,1.5024738,1.4360063,2.7194965
116,2.2738352,1.4494486,2.9792721,2.6605694,1.5050906,2.9165025,1.4868695,1.472967,1.4982697,2.7318978
117,2.217652,1.4000345,2.9371095,2.669262,1.5319073,2.931091,1.4728006,1.4706981,1.5142819,2.7478058
118,2.2169335,1.4193596,2.9727902,2.6398723,1.5078404,2.897311,1.4806484,1.458693,1.4704912,2.7133474
119,2.244806,1.4358997,2.9586914,2.6552138,1.5435063,2.907702,1.454968,1.4862119,1.4921834,2.709869
120,2.1652458,1.4553562,2.9860156,2.6501064,1.5185512,2.9339578,1.4211537,1.4591999,1.4392596,2.7138116
121,2.1502721,1.4284965,2.9977198,2.6377788,1.4891882,2.9146092,1.4449654,1.3640621,1.4443845,2.722288
122,2.1936944,1.4208393,2.9510033,2.6370678,1.5382748,2.9294448,1.4367949,1.455853,1.4361252,2.7561207
123,2.1710963,1.3984009,2.9678214,2.6067781,1.5700527,2.9187787,1.4393276,1.454542,1.451735,2.7180293
124,2.1416233,1.4416562,2.9689717,2.6184795,1.509687,2.9340081,1.4353105,1.5155693,1.4399633,2.7328966
125,2.159586,1.4390696,2.9278946,2.6024563,1.5692248,2.9273794,1.4104748,1.5039523,1.4479569,2.7254949
126,2.1096914,1.4669795,2.9025068,2.5977075,1.5519525,2.933836,1.436048,1.4911298,1.4739958,2.7207906
127,2.1245608,1.4333371,2.9973233,2.5842764,1.531118,2.9629445,1.431653,1.4513893,1.444007,2.7383893
128,2.119983,1.4624926,2.988598,2.5827694,1.4800664,2.9162338,1.41851,1.4156302,1.4861548,2.709622
129,2.092765,1.4431152,2.988157,2.580404,1.5074883,2.9037795,1.4648353,1.481964,1.4702873,2.6881065
130,2.1249936,1.4648061,3.0038307,2.5705338,1.5072743,2.9059389,1.4613838,1.4324726,1.4886929,2.667009
131,2.1312149,1.406923,2.9578187,2.5242085,1.5405152,2.9017932,1.4603678,1.4396251,1.4455837,2.661099
132,2.1344206,1.4812925,2.986445,2.5286586,1.489258,2.8909204,1.4701328,1.4909962,1.4734426,2.6847703
