,given20_estimated7,given17_estimated8,given3_estimated2,given13_estimated31,given16_estimated3,given11_estimated0,given21_estimated3,given0_estimated28,given26_estimated24,given11_estimated2
106,2.3673713,1.4445606,4.1960864,3.6971655,1.5655813,5.537546,1.4448006,1.4580578,1.4649384,3.666088
107,2.3489707,1.4368671,4.1595902,3.6476083,1.5569465,5.480515,1.433492,1.4465507,1.4537663,3.6372695
108,2.3540523,1.4365748,4.1813807,3.6491756,1.5618775,5.505006,1.4410012,1.4469776,1.4513745,3.651088
109,2.345954,1.4414225,4.1696587,3.6224442,1.5599092,5.4893723,1.4370202,1.4493996,1.455954,3.637095
110,2.337263,1.4357586,4.1316566,3.5913105,1.555891,5.452948,1.4308805,1.448053,1.4513773,3.604746
111,2.3241267,1.43861,4.090204,3.5354764,1.5570042,5.380395,1.4327202,1.4479659,1.4565626,3.5730557
112,2.3219132,1.4442598,4.1149044,3.5362778,1.5462301,5.393176,1.4271367,1.4470924,1.4514457,3.5789142
113,2.3153021,1.4391798,4.08864,3.50061,1.5535637,5.3508615,1.4436466,1.4591842,1.4563336,3.558928
114,2.3103387,1.4407371,4.0743575,3.468997,1.5353528,5.338752,1.4308844,1.4448603,1.4626948,3.5494206
115,2.3023822,1.4372288,4.0512543,3.4362755,1.5369496,5.2748313,1.430177,1.4423287,1.4660863,3.5136836
116,2.3022811,1.4464641,4.0230837,3.408594,1.5416143,5.244976,1.441764,1.4478431,1.4568908,3.500347
117,2.2980936,1.4345832,4.0623856,3.4100132,1.5391148,5.282766,1.4423131,1.4482476,1.4569355,3.5141988
118,2.2880976,1.4400533,4.0085187,3.3699172,1.5445076,5.218796,1.4399915,1.4488237,1.4558431,3.4747088
119,2.288288,1.4315172,4.016243,3.3567786,1.5388767,5.22868,1.4364712,1.4524363,1.4580101,3.4686031
120,2.2697384,1.4477725,3.9529533,3.2967079,1.5298704,5.1212554,1.4430913,1.4466046,1.4575449,3.4193473
121,2.2783039,1.4339871,3.9691758,3.2912955,1.5346948,5.1537747,1.4425443,1.4486796,1.4480145,3.442353
122,2.2733128,1.4345472,3.9643905,3.2705457,1.5242361,5.1088505,1.4309664,1.4403269,1.4526414,3.4214456
